,power,potential,cost,state_of_charge,cycle_count
2021-01-02 14:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 14:45:00+00:00,-0.065,-0.13,-0.151850176,0.1,0.0
2021-01-02 15:00:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 15:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 15:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 15:45:00+00:00,-0.0585,-0.117,-0.136665158,0.1,0.0
2021-01-02 16:00:00+00:00,-0.091,-0.182,-0.212590246,0.1,0.0
2021-01-02 16:15:00+00:00,-0.093106648,-0.186213296,-0.217805556,0.1,0.007916667
2021-01-02 16:30:00+00:00,-0.0845,-0.169,-0.197405228,0.1,0.0
2021-01-02 16:45:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 17:00:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 17:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 17:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 17:45:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 18:00:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 18:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 18:30:00+00:00,-0.339833333,-0.679666667,-0.362501902,0.131885965,0.023640351
2021-01-02 18:45:00+00:00,-0.266666667,-0.533333333,-0.32563531,0.154144737,0.020537281
2021-01-02 19:00:00+00:00,0.379540166,0.759080332,0.149535519,0.1,0.027072368
2021-01-02 19:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 19:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 19:45:00+00:00,-0.866666667,-1.733333333,-0.65066089,0.20120614,0.052313596
2021-01-02 20:00:00+00:00,0.666666667,1.333333333,0.299039833,0.109210526,0.045997807
2021-01-02 20:15:00+00:00,-0.021,-0.042,-0.174098809,0.1,0.004605263
2021-01-02 20:30:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 20:45:00+00:00,-0.0975,-0.195,-0.22811242,0.1,0.007916667
2021-01-02 21:00:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 21:15:00+00:00,-0.0975,-0.195,-0.227775263,0.1,0.0
2021-01-02 21:30:00+00:00,-0.486166667,-0.972333333,-0.441830037,0.151140351,0.029846491
2021-01-02 21:45:00+00:00,-0.2,-0.4,-0.291367473,0.164627193,0.017006579
2021-01-02 22:00:00+00:00,-0.333333333,-0.666666667,-0.325405506,0.198223684,0.046535088
2021-01-02 22:15:00+00:00,-0.533333333,-1.066666667,-0.474119724,0.255570175,0.034660088
2021-01-02 22:30:00+00:00,-0.266666667,-0.533333333,-0.327989187,0.277828947,0.020537281
2021-01-02 22:45:00+00:00,0.2,0.4,0.004259848,0.243815789,0.040756579
2021-01-02 23:00:00+00:00,-0.466666667,-0.933333333,-0.282074449,0.295811404,0.061085526
2021-01-02 23:15:00+00:00,-0.933333333,-1.866666667,-0.541661115,0.406644737,0.055416667
2021-01-02 23:30:00+00:00,-0.933333333,-1.866666667,-0.500063821,0.51747807,0.055416667
2021-01-02 23:45:00+00:00,0.266666667,0.533333333,0.256548427,0.478114035,0.059265351
2021-01-03 00:00:00+00:00,-0.466666667,-0.933333333,-0.201283092,0.530964912,0.052741228
2021-01-03 00:15:00+00:00,-0.2,-0.4,-0.09831984,0.554714912,0.011875
2021-01-03 00:30:00+00:00,-1.0,-2.0,-0.330386927,0.673464912,0.059375
2021-01-03 00:45:00+00:00,-0.066666667,-0.133333333,-0.013266667,0.681381579,0.003958333
2021-01-03 01:00:00+00:00,0.0,0.0,0.0,0.681381579,0.0
2021-01-03 01:15:00+00:00,0.066666667,0.133333333,0.046755556,0.672609649,0.004385965
2021-01-03 01:30:00+00:00,0.0,0.0,0.0,0.672609649,0.0
2021-01-03 01:45:00+00:00,0.0,0.0,0.0,0.672609649,0.0
2021-01-03 02:00:00+00:00,0.933333333,1.866666667,0.654577778,0.549802632,0.061403509
2021-01-03 02:15:00+00:00,-0.333333333,-0.666666667,-0.150461854,0.589385965,0.019791667
2021-01-03 02:30:00+00:00,-0.266666667,-0.533333333,-0.093094172,0.621052632,0.015833333
2021-01-03 02:45:00+00:00,-0.933333333,-1.866666667,-0.195248145,0.731885965,0.055416667
2021-01-03 03:00:00+00:00,0.0,0.0,0.0,0.731885965,0.0
2021-01-03 03:15:00+00:00,0.333333333,0.666666667,0.23374381,0.688026316,0.021929825
2021-01-03 03:30:00+00:00,0.0,0.0,0.0,0.688026316,0.0
2021-01-03 03:45:00+00:00,0.0,0.0,0.0,0.688026316,0.0
2021-01-03 04:00:00+00:00,0.0,0.0,0.0,0.688026316,0.0
2021-01-03 04:15:00+00:00,0.4,0.8,0.280533333,0.635394737,0.026315789
2021-01-03 04:30:00+00:00,0.0,0.0,0.0,0.635394737,0.0
2021-01-03 04:45:00+00:00,0.0,0.0,0.0,0.635394737,0.0
2021-01-03 05:00:00+00:00,0.0,0.0,0.0,0.635394737,0.0
2021-01-03 05:15:00+00:00,0.2,0.4,0.140266667,0.609078947,0.013157895
2021-01-03 05:30:00+00:00,0.4,0.8,0.280533333,0.556447368,0.026315789
2021-01-03 05:45:00+00:00,0.0,0.0,0.0,0.556447368,0.0
2021-01-03 06:00:00+00:00,-0.333333333,-0.666666667,-0.143989791,0.596030702,0.019791667
2021-01-03 06:15:00+00:00,-0.133333333,-0.266666667,-0.047704975,0.611864035,0.007916667
