Date,Median,75th Percentile,90th Percentile
2025-01-31,1.0,1.0,1.0
2025-02-28,1.0,1.0,1.0
2025-03-31,1.0,1.0,1.0
2025-04-30,1.0,1.0,1.0
2025-05-31,1.0,1.0,1.0
2025-06-30,1.0,1.0,1.0
2025-07-31,1.0,1.0,1.0
2025-08-31,1.0,1.0,1.0
2025-09-30,1.0,1.0,1.0
2025-10-31,1.0,1.0,1.0
2025-11-30,1.0,1.0,1.0
2025-12-31,1.0,1.0,1.0
2026-01-31,1.0547439331664574,1.0739991109281746,1.0778868808453133
2026-02-28,1.0563906641252232,1.0757110343313343,1.0809024453854508
2026-03-31,1.0552242925007749,1.0746486875889527,1.0814830763239085
2026-04-30,1.0377286303468742,1.054377810200655,1.0648971436332373
2026-05-31,1.0352965384075385,1.0522178876116761,1.0643505814439864
2026-06-30,1.0211196545103314,1.0372879803381347,1.0524186270136857
2026-07-31,1.0287141071315633,1.0465934881212624,1.0622784354114225
2026-08-31,1.0121930039509368,1.0296552470200782,1.048405865846208
2026-09-30,1.0051139684227917,1.022885990205138,1.0437810417013333
2026-10-31,1.0109279559828965,1.0304363063785962,1.0522024080019068
2026-11-30,1.0048943994165747,1.0251944677002502,1.048850965210707
2026-12-31,1.0090804296382196,1.030661407172834,1.0557869120775218
2027-01-31,1.0579030006107342,1.096965380309838,1.131082633341276
2027-02-28,1.0591603632828488,1.0994776158500328,1.1369266967416491
2027-03-31,1.0551415867965215,1.0969834895146318,1.1382308692430012
2027-04-30,1.0217939528326538,1.0619551675577512,1.1089670280329207
2027-05-31,1.015572495920596,1.0573220174332993,1.1079983055308618
2027-06-30,0.9948420020947173,1.0316506983771365,1.086863074730338
2027-07-31,1.0021699354643157,1.0463963132420573,1.1045078960778059
2027-08-31,0.9882633907093437,1.0172646440537123,1.079658326345643
2027-09-30,0.9879855045184525,1.0057925449775138,1.0714493392702762
2027-10-31,0.9893773624878559,1.0178084972053805,1.0865590434466719
2027-11-30,0.9866302794032571,1.008166778030825,1.080432883649534
2027-12-31,0.9912189211648256,1.0181870915565006,1.0932478604435862
2028-01-31,1.0080637177396297,1.07825718871189,1.1663405099358473
2028-02-29,1.011451257914405,1.082269139469539,1.1747227091039902
2028-03-31,1.0093740605154757,1.079618592691126,1.1768740543702034
2028-04-30,0.9906908452330085,1.0353137367205538,1.1374302590061554
2028-05-31,0.9888308096171778,1.0301265188591249,1.1361658991677517
2028-06-30,0.9753640601525058,0.9977914264038288,1.1077095189795854
2028-07-31,0.9883648782053278,1.0182889099256418,1.1318650740121072
2028-08-31,0.9599221007200804,0.9888871442450635,1.098136714717401
2028-09-30,0.9479737429573806,0.988394310171393,1.0871785080983833
2028-10-31,0.9621417781054704,0.9935964949910744,1.1078976023221851
2028-11-30,0.9516073827897401,0.990736667140334,1.0994914083840468
2028-12-31,0.9649557651839803,1.0003614780067744,1.1174418208545551
2029-01-31,0.9926218568331684,1.0450654758849391,1.1886415799979864
2029-02-28,1.0005764544769171,1.051555566591735,1.1994263122919517
2029-03-31,1.00227192187675,1.050620332668552,1.2020296311061236
2029-04-30,0.9703068267818722,1.0073962837452948,1.154201485359474
2029-05-31,0.9658460224772116,1.006039454151066,1.1525379609499071
2029-06-30,0.9353538163096051,0.9943977030905019,1.1150207622394561
2029-07-31,0.9570732185832491,1.005375164447353,1.1442277936152934
2029-08-31,0.9213661314207726,0.9934139206557806,1.100008527517747
2029-09-30,0.9090259820861037,0.990716174001975,1.086831278330444
2029-10-31,0.9276973202026384,1.0035329384633107,1.1104544639601925
2029-11-30,0.9172370419021751,0.9996489155623458,1.0984653254822168
2029-12-31,0.9344004174203269,1.015733184937137,1.12002137666312
2030-01-31,0.9743241898552626,1.025421188765882,1.1898383420634255
2030-02-28,0.9829101270460245,1.039770745960185,1.2028521737488092
2030-03-31,0.9830429833875445,1.0450243994101047,1.2035756665945199
2030-04-30,0.9375254944694628,1.0093213143695918,1.1421349029999015
2030-05-31,0.9334561268139372,1.0087928798184005,1.1359390301350538
2030-06-30,0.9007318381478642,0.9909723501017548,1.0893509389514884
2030-07-31,0.925462290853574,1.0114998367672852,1.1203530555046246
