Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
2021-01-01T00:00;2021-01-01T00:15;1;kWh;-4499;0;0;0;4499;-4499
2021-01-01T00:15;2021-01-01T00:30;2;kWh;-6537;0;0;0;6537;-6537
2021-01-01T00:30;2021-01-01T00:45;3;kWh;-20230;114;0;0;20344;-20116
2021-01-01T00:45;2021-01-01T01:00;4;kWh;-413;1631;0;0;2044;1218
2021-01-01T01:00;2021-01-01T01:15;5;kWh;-369;0;0;0;369;-369
2021-01-01T01:15;2021-01-01T01:30;6;kWh;0;0;0;0;0;0
2021-01-01T01:30;2021-01-01T01:45;7;kWh;0;0;0;0;0;0
2021-01-01T01:45;2021-01-01T02:00;8;kWh;-18;0;0;0;18;-18
2021-01-01T02:00;2021-01-01T02:15;9;kWh;-399;0;0;0;399;-399
2021-01-01T02:15;2021-01-01T02:30;10;kWh;-8591;0;0;0;8591;-8591
2021-01-01T02:30;2021-01-01T02:45;11;kWh;-30245;0;0;0;30245;-30245
2021-01-01T02:45;2021-01-01T03:00;12;kWh;-47085;0;0;0;47085;-47085
2021-01-01T03:00;2021-01-01T03:15;13;kWh;-42528;0;0;0;42528;-42528
2021-01-01T03:15;2021-01-01T03:30;14;kWh;-4617;0;0;0;4617;-4617
2021-01-01T03:30;2021-01-01T03:45;15;kWh;-68109;0;0;0;68109;-68109
2021-01-01T03:45;2021-01-01T04:00;16;kWh;-78220;0;0;0;78220;-78220
2021-01-01T04:00;2021-01-01T04:15;17;kWh;-18537;0;0;0;18537;-18537
2021-01-01T04:15;2021-01-01T04:30;18;kWh;-213;0;0;0;213;-213
2021-01-01T04:30;2021-01-01T04:45;19;kWh;-2350;0;0;0;2350;-2350
2021-01-01T04:45;2021-01-01T05:00;20;kWh;-45027;0;0;0;45027;-45027
2021-01-01T05:00;2021-01-01T05:15;21;kWh;-20877;0;0;0;20877;-20877
2021-01-01T05:15;2021-01-01T05:30;22;kWh;-17713;0;0;0;17713;-17713
2021-01-01T05:30;2021-01-01T05:45;23;kWh;-13475;0;0;0;13475;-13475
2021-01-01T05:45;2021-01-01T06:00;24;kWh;-12562;0;0;0;12562;-12562
2021-01-01T06:00;2021-01-01T06:15;25;kWh;-27697;0;0;0;27697;-27697
2021-01-01T06:15;2021-01-01T06:30;26;kWh;-11321;0;0;0;11321;-11321
2021-01-01T06:30;2021-01-01T06:45;27;kWh;-12662;0;0;0;12662;-12662
2021-01-01T06:45;2021-01-01T07:00;28;kWh;-7870;0;0;0;7870;-7870
2021-01-01T07:00;2021-01-01T07:15;29;kWh;-122;0;0;0;122;-122
2021-01-01T07:15;2021-01-01T07:30;30;kWh;0;0;0;0;0;0
