Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
2022-01-01T00:00;2022-01-01T00:15;1;kWh;-11816;0;0;0;11816;-11816
2022-01-01T00:15;2022-01-01T00:30;2;kWh;-84;0;0;0;84;-84
2022-01-01T00:30;2022-01-01T00:45;3;kWh;-7007;0;0;0;7007;-7007
2022-01-01T00:45;2022-01-01T01:00;4;kWh;-60019;0;0;0;60019;-60019
2022-01-01T01:00;2022-01-01T01:15;5;kWh;-26640;0;0;0;26640;-26640
2022-01-01T01:15;2022-01-01T01:30;6;kWh;-1221;0;0;0;1221;-1221
2022-01-01T01:30;2022-01-01T01:45;7;kWh;0;0;0;0;0;0
2022-01-01T01:45;2022-01-01T02:00;8;kWh;-423;0;0;0;423;-423
2022-01-01T02:00;2022-01-01T02:15;9;kWh;-43;4425;0;0;4468;4382
2022-01-01T02:15;2022-01-01T02:30;10;kWh;0;29678;0;0;29678;29678
2022-01-01T02:30;2022-01-01T02:45;11;kWh;-1953;14300;0;0;16253;12347
2022-01-01T02:45;2022-01-01T03:00;12;kWh;-19378;0;0;0;19378;-19378
2022-01-01T03:00;2022-01-01T03:15;13;kWh;-43670;0;0;0;43670;-43670
2022-01-01T03:15;2022-01-01T03:30;14;kWh;-92;0;0;0;92;-92
2022-01-01T03:30;2022-01-01T03:45;15;kWh;-1269;0;0;0;1269;-1269
2022-01-01T03:45;2022-01-01T04:00;16;kWh;-28896;0;0;0;28896;-28896
2022-01-01T04:00;2022-01-01T04:15;17;kWh;-19849;0;0;0;19849;-19849
2022-01-01T04:15;2022-01-01T04:30;18;kWh;0;0;0;0;0;0
2022-01-01T04:30;2022-01-01T04:45;19;kWh;0;0;0;0;0;0
2022-01-01T04:45;2022-01-01T05:00;20;kWh;0;0;0;0;0;0
2022-01-01T05:00;2022-01-01T05:15;21;kWh;0;0;0;0;0;0
2022-01-01T05:15;2022-01-01T05:30;22;kWh;0;0;0;0;0;0
2022-01-01T05:30;2022-01-01T05:45;23;kWh;0;0;0;0;0;0
2022-01-01T05:45;2022-01-01T06:00;24;kWh;-1367;0;0;0;1367;-1367
2022-01-01T06:00;2022-01-01T06:15;25;kWh;-66066;0;0;0;66066;-66066
2022-01-01T06:15;2022-01-01T06:30;26;kWh;-88385;0;0;0;88385;-88385
2022-01-01T06:30;2022-01-01T06:45;27;kWh;-56295;0;0;0;56295;-56295
2022-01-01T06:45;2022-01-01T07:00;28;kWh;-24743;0;0;0;24743;-24743
2022-01-01T07:00;2022-01-01T07:15;29;kWh;-13530;0;0;0;13530;-13530
2022-01-01T07:15;2022-01-01T07:30;30;kWh;-34;0;0;0;34;-34
2022-01-01T07:30;2022-01-01T07:45;31;kWh;0;0;0;0;0;0
2022-01-01T07:45;2022-01-01T08:00;32;kWh;0;0;0;0;0;0
2022-01-01T08:00;2022-01-01T08:15;33;kWh;0;0;0;0;0;0
2022-01-01T08:15;2022-01-01T08:30;34;kWh;0;0;0;0;0;0
2022-01-01T08:30;2022-01-01T08:45;35;kWh;0;0;0;0;0;0
2022-01-01T08:45;2022-01-01T09:00;36;kWh;-6884;0;0;0;6884;-6884
2022-01-01T09:00;2022-01-01T09:15;37;kWh;-16870;0;0;0;16870;-16870
2022-01-01T09:15;2022-01-01T09:30;38;kWh;-6093;57;0;0;6150;-6036
2022-01-01T09:30;2022-01-01T09:45;39;kWh;-18071;0;0;0;18071;-18071
2022-01-01T09:45;2022-01-01T10:00;40;kWh;-58730;0;0;0;58730;-58730
2022-01-01T10:00;2022-01-01T10:15;41;kWh;-59012;0;0;0;59012;-59012
2022-01-01T10:15;2022-01-01T10:30;42;kWh;-35636;0;0;0;35636;-35636
2022-01-01T10:30;2022-01-01T10:45;43;kWh;-68104;0;0;0;68104;-68104
2022-01-01T10:45;2022-01-01T11:00;44;kWh;-80316;0;0;0;80316;-80316
2022-01-01T11:00;2022-01-01T11:15;45;kWh;-44863;0;0;0;44863;-44863
2022-01-01T11:15;2022-01-01T11:30;46;kWh;-4905;0;0;0;4905;-4905
2022-01-01T11:30;2022-01-01T11:45;47;kWh;-29407;0;0;0;29407;-29407
2022-01-01T11:45;2022-01-01T12:00;48;kWh;-19972;2249;0;0;22221;-17723
2022-01-01T12:00;2022-01-01T12:15;49;kWh;-3404;4349;0;0;7753;945
2022-01-01T12:15;2022-01-01T12:30;50;kWh;-12619;0;0;0;12619;-12619
2022-01-01T12:30;2022-01-01T12:45;51;kWh;-1042;0;0;0;1042;-1042
2022-01-01T12:45;2022-01-01T13:00;52;kWh;-1400;0;0;0;1400;-1400
2022-01-01T13:00;2022-01-01T13:15;53;kWh;-2423;0;0;0;2423;-2423
2022-01-01T13:15;2022-01-01T13:30;54;kWh;-2271;0;0;0;2271;-2271
2022-01-01T13:30;2022-01-01T13:45;55;kWh;-1082;0;0;0;1082;-1082
2022-01-01T13:45;2022-01-01T14:00;56;kWh;-1563;0;0;0;1563;-1563
2022-01-01T14:00;2022-01-01T14:15;57;kWh;-2038;0;0;0;2038;-2038
2022-01-01T14:15;2022-01-01T14:30;58;kWh;-2101;0;0;0;2101;-2101
2022-01-01T14:30;2022-01-01T14:45;59;kWh;-2;0;0;0;2;-2
2022-01-01T14:45;2022-01-01T15:00;60;kWh;-578;0;0;0;578;-578
2022-01-01T15:00;2022-01-01T15:15;61;kWh;-49395;0;0;0;49395;-49395
2022-01-01T15:15;2022-01-01T15:30;62;kWh;-36290;0;0;0;36290;-36290
2022-01-01T15:30;2022-01-01T15:45;63;kWh;-14376;0;0;0;14376;-14376
2022-01-01T15:45;2022-01-01T16:00;64;kWh;-5975;0;0;0;5975;-5975
2022-01-01T16:00;2022-01-01T16:15;65;kWh;-50628;0;0;0;50628;-50628
