Date,TTF
2021-01-04,19.84499931335449
2021-01-05,18.0049991607666
2021-01-06,17.565000534057617
2021-01-07,19.30500030517578
2021-01-08,20.1200008392334
2021-01-11,22.125
2021-01-12,26.155000686645508
2021-01-13,21.5
2021-01-14,21.334999084472656
2021-01-15,20.200000762939453
2021-01-19,20.325000762939453
2021-01-20,20.26000022888184
2021-01-21,20.065000534057617
2021-01-22,21.48500061035156
2021-01-25,20.15999984741211
2021-01-26,19.51000022888184
2021-01-27,19.700000762939453
2021-01-28,20.90999984741211
2021-01-29,19.81999969482422
2021-02-01,18.13999938964844
2021-02-02,18.25
2021-02-03,17.854999542236328
2021-02-04,18.1200008392334
2021-02-05,18.3799991607666
2021-02-08,20.18000030517578
2021-02-09,19.045000076293945
2021-02-10,18.559999465942383
2021-02-11,17.375
2021-02-12,17.6200008392334
2021-02-16,16.71500015258789
2021-02-17,16.540000915527344
2021-02-18,17.329999923706055
2021-02-19,16.55500030517578
2021-02-22,15.960000038146973
2021-02-23,16.25
2021-02-24,16.3799991607666
2021-02-25,15.9350004196167
2021-02-26,15.69499969482422
2021-03-01,16.079999923706055
2021-03-02,15.869999885559082
2021-03-03,15.524999618530272
2021-03-04,15.93000030517578
2021-03-05,16.364999771118164
2021-03-08,16.149999618530273
2021-03-09,16.924999237060547
2021-03-10,17.6299991607666
2021-03-11,18.125
2021-03-12,18.450000762939453
2021-03-15,17.93000030517578
2021-03-16,17.65999984741211
2021-03-17,17.969999313354492
2021-03-18,17.760000228881836
2021-03-19,17.264999389648438
2021-03-22,18.045000076293945
2021-03-23,18.38999938964844
2021-03-24,18.59000015258789
2021-03-25,18.364999771118164
2021-03-26,18.700000762939453
2021-03-29,18.44499969482422
2021-03-30,18.80500030517578
2021-03-31,18.9950008392334
2021-04-01,19.170000076293945
2021-04-05,19.170000076293945
2021-04-06,19.780000686645508
2021-04-07,19.28499984741211
2021-04-08,18.989999771118164
2021-04-09,18.940000534057617
2021-04-12,19.649999618530277
2021-04-13,19.51000022888184
2021-04-14,19.68000030517578
2021-04-15,20.26000022888184
2021-04-16,20.540000915527344
2021-04-19,20.940000534057617
2021-04-20,21.065000534057617
2021-04-21,21.11000061035156
2021-04-22,21.3700008392334
2021-04-23,20.045000076293945
2021-04-26,20.0
2021-04-27,21.405000686645508
2021-04-28,21.55500030517578
2021-04-29,22.5
2021-04-30,23.28499984741211
2021-05-03,23.815000534057617
2021-05-04,23.049999237060547
2021-05-05,23.959999084472656
2021-05-06,24.32999992370605
2021-05-07,23.940000534057617
2021-05-10,25.190000534057617
2021-05-11,25.80500030517578
2021-05-12,26.420000076293945
2021-05-13,26.25
2021-05-14,26.82999992370605
2021-05-17,26.309999465942383
2021-05-18,24.809999465942383
2021-05-19,22.665000915527344
2021-05-20,24.684999465942383
2021-05-21,24.795000076293945
2021-05-24,24.76000022888184
2021-05-25,26.190000534057617
2021-05-26,26.424999237060547
2021-05-27,25.200000762939453
2021-05-28,24.93000030517578
2021-06-01,25.975000381469727
2021-06-02,25.725000381469727
2021-06-03,25.70499992370605
2021-06-04,25.795000076293945
2021-06-07,26.489999771118164
2021-06-08,27.799999237060547
2021-06-09,28.299999237060547
2021-06-10,28.684999465942383
2021-06-11,27.84499931335449
2021-06-14,28.809999465942383
2021-06-15,28.13500022888184
2021-06-16,28.030000686645508
2021-06-17,28.309999465942383
2021-06-18,29.405000686645508
2021-06-21,29.614999771118164
2021-06-22,30.73500061035156
2021-06-23,31.545000076293945
2021-06-24,32.01499938964844
2021-06-25,32.3849983215332
2021-06-28,32.28900146484375
2021-06-29,33.48600006103516
2021-06-30,34.62200164794922
2021-07-01,36.14300155639648
2021-07-02,35.82699966430664
2021-07-06,34.10499954223633
2021-07-07,32.3380012512207
2021-07-08,33.3120002746582
2021-07-09,36.63199996948242
2021-07-12,34.64899826049805
2021-07-13,35.4630012512207
2021-07-14,34.775001525878906
2021-07-15,33.797000885009766
2021-07-16,34.84199905395508
2021-07-19,35.64899826049805
2021-07-20,35.165000915527344
2021-07-21,35.94900131225586
2021-07-22,36.12900161743164
2021-07-23,35.52299880981445
2021-07-26,36.91400146484375
2021-07-27,37.59000015258789
2021-07-28,39.698001861572266
2021-07-29,41.15399932861328
2021-07-30,40.75600051879883
2021-08-02,42.15299987792969
2021-08-03,41.24300003051758
2021-08-04,42.25299835205078
2021-08-05,42.89899826049805
2021-08-06,43.11800003051758
2021-08-09,42.7859992980957
2021-08-10,44.65499877929688
2021-08-11,45.98600006103516
2021-08-12,45.87099838256836
2021-08-13,44.62799835205078
2021-08-16,47.98799896240234
2021-08-17,46.94900131225586
2021-08-18,45.3849983215332
2021-08-19,40.39500045776367
2021-08-20,41.94400024414063
2021-08-23,41.68000030517578
2021-08-24,44.869998931884766
2021-08-25,45.28499984741211
2021-08-26,45.78799819946289
2021-08-27,47.805999755859375
2021-08-30,49.67900085449219
2021-08-31,50.3380012512207
2021-09-01,50.23199844360352
2021-09-02,51.91600036621094
2021-09-03,51.505001068115234
2021-09-07,53.90800094604492
2021-09-08,55.28799819946289
2021-09-09,56.58100128173828
2021-09-10,57.91600036621094
2021-09-13,61.27899932861328
2021-09-14,65.76399993896484
2021-09-15,70.70700073242188
2021-09-16,63.2509994506836
2021-09-17,65.10299682617188
2021-09-20,75.31700134277344
2021-09-21,73.78199768066406
2021-09-22,71.69200134277344
2021-09-23,69.68399810791016
2021-09-24,70.23999786376953
2021-09-27,76.50700378417969
2021-09-28,78.56500244140625
2021-09-29,86.60900115966797
2021-09-30,97.77400207519533
