,Day-ahead Only
2021-01-31,44.28587099802836
2021-02-28,34.866986358574614
2021-03-31,196.65744629475438
2021-04-30,136.28161734740706
2021-05-31,345.1318935936211
2021-06-30,121.72942793081359
2021-07-31,53.388392051655146
2021-08-31,110.08754161389543
2021-09-30,0.0
2021-10-31,75.5874842997324
2021-11-30,0.0
2021-12-31,13.981593478832501
2022-01-31,96.50734237850101
2022-02-28,89.57075964699776
2022-03-31,469.3299047224523
2022-04-30,808.2936138164412
2022-05-31,482.6638427751436
2022-06-30,371.56441338549905
2022-07-31,829.9395850578459
2022-08-31,520.341115816286
2022-09-30,89.6937972910217
2022-10-31,116.69450733272228
2022-11-30,0.0
2022-12-31,38.15124589387239
2023-01-31,88.03148273363922
2023-02-28,0.0
2023-03-31,245.52643040583388
2023-04-30,798.7478175860186
2023-05-31,1002.0671475741765
2023-06-30,411.4671402410393
2023-07-31,939.0185484719536
2023-08-31,292.1083025404157
2023-09-30,450.01258015682015
2023-10-31,391.91367351034273
2023-11-30,0.0
2023-12-31,174.24453589302473
2024-01-31,82.42428021549031
2024-02-29,10.87581050351922
2024-03-31,387.89421561995545
2024-04-30,934.2703002205827
2024-05-31,1144.6618935153585
2024-06-30,618.1169511622626
2024-07-31,871.0001425259852
2024-08-31,1349.5494917299955
2024-09-30,591.6069588000902
2024-10-31,141.02298894284647
2024-11-30,37.80582584736166
2024-12-31,6.969
