Date,BESS,EUA,NG_Price,RESP
2021-01-31,6.324555320336759,73.0,20.4415791160182,2083.747043
2021-02-28,6.605782590758164,68.4,17.415000012046413,2345.436662
2021-03-31,6.875516509523286,64.58,17.563912972160008,2631.347361
2021-04-30,7.135060680126758,65.56,20.39285741533552,2937.190234
2021-05-31,7.385489458759964,70.3,25.018000030517577,2933.63088
2021-06-30,7.627700713964739,69.24,29.168272712013938,2578.836123
2021-07-31,7.862453931068964,67.36,36.019524165562224,2737.535303
2021-08-31,8.090398349558905,74.07,44.713590448552914,2921.4374430000003
2021-09-30,8.312094145936335,69.2,66.83904774983723,2149.8799850000005
2021-10-31,8.528028654224418,61.93,91.33314187186105,2842.973577
2021-11-30,8.738628975053029,56.44,82.05761973063152,1884.246252
2021-12-31,8.94427190999916,64.4,114.99272606589578,2217.839669
2022-01-31,9.128709291752768,80.19,85.59360008239746,2446.826243
2022-02-28,9.309493362512628,70.55,82.40305248059724,3765.09127
2022-03-31,9.486832980505138,79.41,131.2738269308339,2972.6419000000005
2022-04-30,9.66091783079296,81.45,101.51965065002442,3866.274651
2022-05-31,9.83192080250175,86.03,94.3770486740839,3808.474688
2022-06-30,10.0,86.81,107.70047578357514,3736.345127000001
2022-07-31,10.165300454651272,89.57,172.41529922485353,3713.1774030000006
2022-08-31,10.327955589886445,80.77,235.95530567998472,3435.1855799999994
2022-09-30,10.488088481701515,87.65,201.4778086344401,2943.744358
2022-10-31,10.645812948447542,91.75,135.47933342343285,2932.513523
2022-11-30,10.801234497346432,99.54,119.33623795282271,3218.665773
2022-12-31,10.954451150103322,93.0,116.16871497744606,2568.650995
2023-01-31,12.315302134607444,82.26,63.68464984893799,3509.497931
2023-02-28,13.5400640077266,84.9,52.79315828022204,2709.206806
2023-03-31,14.66287829861518,79.97,44.02530421381412,4139.429306
2023-04-30,15.705625319186328,66.73,42.07031571237665,4262.320784
2023-05-31,16.68332500832293,80.03,32.05118179321289,4890.540827
2023-06-30,17.60681686165901,78.55,32.47385715302967,5350.262153
2023-07-31,18.484227510682363,90.16,29.15274991989136,5436.7547110000005
2023-08-31,19.32183566158592,84.02,35.00043487548828,4274.691709000001
2023-09-30,20.12461179749811,84.45,37.04330043792724,3632.255649
2023-10-31,20.896570691543307,76.48,47.06813638860529,4205.750777
2023-11-30,21.641010450839243,82.21,45.73563645102761,4225.343604000001
2023-12-31,22.36067977499789,89.24,35.9706995010376,4446.523876
2024-01-31,22.73030282830976,80.65,29.907999946957545,4441.321529
2024-02-29,23.09401076758504,75.37,25.86625013351441,4391.252742
2024-03-31,23.45207879911715,58.71,26.85285005569458,4644.032638000001
2024-04-30,23.80476142847617,61.74,28.96180933997745,6077.437349000001
2024-05-31,24.1522945769824,60.76,31.81236371127041,5186.860423
2024-06-30,24.49489742783178,53.33,34.4207370155736,5496.483207
2024-07-31,24.8327740429189,56.37,32.52304545315829,5652.426168
2024-08-31,25.16611478423584,51.7,38.34704572504217,5530.634514
2024-09-30,25.495097567963924,48.84,36.08259983062744,4895.881029
2024-10-31,25.819888974716115,42.55,40.42343454775603,3834.48166
2024-11-30,26.14064523559687,37.28,44.63360042572022,3350.112791
2024-12-31,26.457513110645905,32.95,44.96684951782227,4480.7311150000005
