Date,BESS,EUA,NG_Price,RESP,Imbalance,Day-ahead,Intraday,Total,Day-ahead Only,Imbalance (4h),Day-ahead (4h),Intraday (4h)
2021-01-31,6.324555320336759,73.0,20.441579116018197,2083.747043,14052.355916721435,313.9599173786499,320.0703791193316,14686.386213219415,44.28587099802836,15050.732,537.822,105.53999999999996
2021-02-28,6.605782590758164,68.4,17.415000012046413,2345.436662,11967.31684075724,0.0,-342.32312221603564,11624.993718541204,34.866986358574614,12143.063,0.0,-364.555
2021-03-31,6.875516509523286,64.58,17.563912972160008,2631.347361,15309.577246461282,6.149042464612823,-635.5933147377185,14680.132974188176,196.6574462947544,16135.376,30.0,-636.405
2021-04-30,7.135060680126758,65.56,20.39285741533552,2937.190234,10925.326974300136,0.0,-456.9229305185864,10468.404043781553,136.28161734740706,13343.56,0.0,-459.529
2021-05-31,7.385489458759964,70.3,25.018000030517577,2933.63088,14854.763637063514,0.0,-666.8380879846027,14187.925549078913,345.1318935936211,17143.417999999998,0.0,-564.197
2021-06-30,7.627700713964739,69.24,29.168272712013938,2578.836123,17594.166874439463,0.0,-1017.3883376041,16576.77853683536,121.7294279308136,19566.301,0.0,-966.64
2021-07-31,7.862453931068964,67.36,36.019524165562224,2737.535303,14358.314994816295,6.044470716624227,-2397.841533284831,11966.51793224809,53.388392051655146,15747.234,5.406,-2413.2200000000003
2021-08-31,8.090398349558905,74.07,44.713590448552914,2921.4374430000003,24165.50632286955,0.0,-4054.441963271214,20111.06435959833,110.08754161389544,26650.164,0.0,-3876.608
2021-09-30,8.312094145936335,69.2,66.83904774983723,2149.8799850000005,19289.04268931775,0.0,-2456.0639160097853,16832.978773307965,0.0,21883.583,0.0,-2175.387
2021-10-31,8.528028654224418,61.93,91.33314187186105,2842.973577,33695.241069580734,210.0792042818912,-7682.263049063337,26223.057224799293,75.5874842997324,38193.925,442.9,-7780.984999999999
2021-11-30,8.738628975053029,56.44,82.05761973063152,1884.246252,25491.509283312687,0.0,-2313.537149177137,23177.972134135547,0.0,26867.795,0.0,-2257.859
2021-12-31,8.94427190999916,64.4,114.99272606589578,2217.839669,28396.744520115702,209.7588561661846,-5181.675249276887,23424.828127005,13.9815934788325,31051.53,600.1,-6541.978000000001
2022-01-31,9.128709291752768,80.19,85.59360008239746,2446.826243,27987.78228330861,0.0,-2801.5997867550823,25186.18249655353,96.507342378501,30305.166,0.0,-3661.051
2022-02-28,9.309493362512628,70.55,82.40305248059724,3765.09127,36658.17326656861,0.0,-7509.791676328085,29148.381590240533,89.57075964699776,41873.146,0.0,-7718.471
2022-03-31,9.486832980505138,79.41,131.2738269308339,2972.6419000000005,34081.033930240264,962.5585749792874,442.35733943661984,35485.94984465618,469.3299047224523,39657.101,1486.78,182.49699999999984
2022-04-30,9.66091783079296,81.45,101.51965065002442,3866.274651,39805.15341333774,54.9076822383625,-9172.30494874546,30687.756146830645,808.2936138164412,45059.113,100.092,-9873.407
2022-05-31,9.83192080250175,86.03,94.3770486740839,3808.474688,37520.41640828551,0.0,-11847.56179810332,25672.854610182185,482.6638427751436,43263.33,0.0,-12096.922
2022-06-30,10.0,86.81,107.70047578357514,3736.345127000001,45015.80669782736,0.0,-8967.978100391243,36047.82859743612,371.5644133854991,51695.468,0.0,-8853.855
2022-07-31,10.165300454651272,89.57,172.41529922485353,3713.1774030000006,35184.83275126283,0.0,-5388.76819504644,29796.06455621639,829.9395850578459,49398.081999999995,0.0,-5634.922
2022-08-31,10.327955589886445,80.77,235.95530567998472,3435.1855799999994,37590.45286818434,89.93910690121787,-6480.589858552895,31199.802116532668,520.341115816286,51204.62499999999,170.0,-6205.887000000001
2022-09-30,10.488088481701515,87.65,201.4778086344401,2943.744358,53876.90865301859,0.0,-22732.85007097524,31144.058582043348,89.6937972910217,69258.83200000001,0.0,-26378.872
2022-10-31,10.645812948447542,91.75,135.47933342343285,2932.513523,27727.052559349224,0.0,-6042.084794683777,21684.96776466545,116.69450733272228,33610.502,0.0,-7344.9
2022-11-30,10.801234497346432,99.54,119.33623795282271,3218.665773,27518.47209371274,53.2047543915428,-1627.3565102932994,25944.320337810983,0.0,34654.864,100.465,-1837.413
2022-12-31,10.954451150103322,93.0,116.16871497744606,2568.650995,24471.726516898296,0.0,-1638.3832433670248,22833.34327353127,38.15124589387239,32373.575999999997,48.407,-1830.516
