,Allocation point 1 - Imbalance shortage,Allocation point 1 - Imbalance surplus
2021-01-03 00:30:00+00:00,-0.75,0.0
2021-01-03 00:45:00+00:00,-0.3,0.0
2021-01-03 01:00:00+00:00,0.0,0.0
2021-01-03 01:15:00+00:00,0.0,0.6195
2021-01-03 01:30:00+00:00,0.0,0.0
2021-01-03 01:45:00+00:00,0.0,0.0
2021-01-03 02:00:00+00:00,0.0,32.036666667
2021-01-03 02:15:00+00:00,-1.604166667,0.0
2021-01-03 02:30:00+00:00,-0.792666667,0.0
2021-01-03 02:45:00+00:00,-0.793333333,0.0
2021-01-03 03:00:00+00:00,0.0,0.0
2021-01-03 03:15:00+00:00,0.0,3.930833333
2021-01-03 03:30:00+00:00,0.0,0.0
2021-01-03 03:45:00+00:00,0.0,0.0
2021-01-03 04:00:00+00:00,0.0,0.0
2021-01-03 04:15:00+00:00,0.0,4.342
2021-01-03 04:30:00+00:00,0.0,0.0
2021-01-03 04:45:00+00:00,0.0,0.0
2021-01-03 05:00:00+00:00,0.0,0.0
2021-01-03 05:15:00+00:00,0.0,2.2185
2021-01-03 05:30:00+00:00,0.0,4.438
2021-01-03 05:45:00+00:00,0.0,0.0
2021-01-03 06:00:00+00:00,-2.094166667,0.0
2021-01-03 06:15:00+00:00,-0.626333333,0.0
2021-01-03 06:30:00+00:00,-0.9395,0.0
2021-01-03 06:45:00+00:00,0.0,0.0
2021-01-03 07:00:00+00:00,2.645,0.0
2021-01-03 07:15:00+00:00,1.955833333,0.0
2021-01-03 07:30:00+00:00,-0.390666667,0.0
2021-01-03 07:45:00+00:00,0.0,0.0
2021-01-03 08:00:00+00:00,0.0,0.0
2021-01-03 08:15:00+00:00,0.0,0.0
2021-01-03 08:30:00+00:00,0.0,49.5575
2021-01-03 08:45:00+00:00,0.0,15.430333333
2021-01-03 09:00:00+00:00,0.0,13.025
2021-01-03 09:15:00+00:00,0.0,12.275
2021-01-03 09:30:00+00:00,0.0,12.100833333
2021-01-03 09:45:00+00:00,0.0,59.550455833
2021-01-03 10:00:00+00:00,-0.520833333,0.0
2021-01-03 10:15:00+00:00,-9.637333333,0.0
2021-01-03 10:30:00+00:00,0.0,9.607904167
2021-01-03 10:45:00+00:00,-0.10764,0.0
2021-01-03 11:00:00+00:00,0.0,0.0
2021-01-03 11:15:00+00:00,-0.09893,0.0
2021-01-03 11:30:00+00:00,0.0,0.0
2021-01-03 11:45:00+00:00,0.0,0.0
2021-01-03 12:00:00+00:00,0.0,0.0
2021-01-03 12:15:00+00:00,0.0,0.0
2021-01-03 12:30:00+00:00,-2.735,0.0
2021-01-03 12:45:00+00:00,0.0,0.0
2021-01-03 13:00:00+00:00,-1.283333333,0.0
2021-01-03 13:15:00+00:00,3.0875,0.0
2021-01-03 13:30:00+00:00,-1.458666667,0.0
2021-01-03 13:45:00+00:00,-2.4,0.0
2021-01-03 14:00:00+00:00,0.0,0.0
2021-01-03 14:15:00+00:00,4.464,0.0
2021-01-03 14:30:00+00:00,0.0,0.0
2021-01-03 14:45:00+00:00,-0.107,0.0
2021-01-03 15:00:00+00:00,-2.031,0.0
2021-01-03 15:15:00+00:00,0.0,0.0
2021-01-03 15:30:00+00:00,0.0,0.7815
2021-01-03 15:45:00+00:00,0.0,10.846
2021-01-03 16:00:00+00:00,0.0,14.228666667
2021-01-03 16:15:00+00:00,0.0,13.9125
